code,name,weekly_hours,lecturer_email,student_group_names,is_online
COSC101,Introduction to Computer Science,3,o.adeyemi@stateuniv.edu,COSC-1A|COSC-1B|COSC-1C|COSC-1D,false
COSC102A,Programming Fundamentals (Section A),4,c.okonkwo@stateuniv.edu,COSC-1A|COSC-1B,false
COSC102B,Programming Fundamentals (Section B),4,s.igwe@stateuniv.edu,COSC-1C|COSC-1D,false
COSC103A,Discrete Mathematics (Section A),3,e.nwachukwu@stateuniv.edu,COSC-1A|COSC-1B,false
COSC103B,Discrete Mathematics (Section B),3,a.mohammed@stateuniv.edu,COSC-1C|COSC-1D,false
COSC104,Digital Logic Design,2,a.mohammed@stateuniv.edu,COSC-1A|COSC-1B|COSC-1C|COSC-1D,false
COSC201A,Data Structures and Algorithms (Section A),4,t.bakare@stateuniv.edu,COSC-2A|COSC-2B,false
COSC201B,Data Structures and Algorithms (Section B),4,g.obi@stateuniv.edu,COSC-2C|COSC-2D,false
COSC202A,Object Oriented Programming (Group A),3,n.eze@stateuniv.edu,COSC-2A,false
COSC202B,Object Oriented Programming (Group B),3,b.oyelaran@stateuniv.edu,COSC-2B,false
COSC202C,Object Oriented Programming (Group C),3,f.adebayo@stateuniv.edu,COSC-2C,false
COSC202D,Object Oriented Programming (Group D),3,k.ogundimu@stateuniv.edu,COSC-2D,false
COSC203,Computer Architecture,3,b.oyelaran@stateuniv.edu,COSC-2A|COSC-2B|COSC-2C|COSC-2D,false
COSC204A,Database Management Systems (Lab A),3,f.adebayo@stateuniv.edu,COSC-2A|COSC-2B,false
COSC204B,Database Management Systems (Lab B),3,b.nwosu@stateuniv.edu,COSC-2C|COSC-2D,false
COSC301,Operating Systems,3,c.okoro@stateuniv.edu,COSC-3A|COSC-3B|COSC-3C|COSC-3D,false
COSC302,Software Engineering,3,y.adeleke@stateuniv.edu,COSC-3A|COSC-3B|COSC-3C|COSC-3D,false
COSC303,Computer Networks,3,i.musa@stateuniv.edu,COSC-3A|COSC-3B|COSC-3C|COSC-3D,false
COSC304,Artificial Intelligence,3,g.obi@stateuniv.edu,COSC-3A|COSC-3B|COSC-3C|COSC-3D,false
COSC401,Machine Learning,3,k.ogundimu@stateuniv.edu,COSC-4A|COSC-4B,false
COSC402,Cloud Computing,3,b.nwosu@stateuniv.edu,COSC-4A|COSC-4B,false
COSC403,Final Year Project I,4,a.bello@stateuniv.edu,COSC-4A|COSC-4B,false
COSC404,Final Year Project II,4,o.fashola@stateuniv.edu,COSC-4A|COSC-4B,false
SENG101,Introduction to Software Engineering,3,u.okafor@stateuniv.edu,SENG-1A|SENG-1B|SENG-1C|SENG-1D,false
SENG102A,Programming in Python (Lab A),4,d.ojo@stateuniv.edu,SENG-1A,false
SENG102B,Programming in Python (Lab B),4,h.abdullahi@stateuniv.edu,SENG-1B,false
SENG102C,Programming in Python (Lab C),4,j.okoye@stateuniv.edu,SENG-1C,false
SENG102D,Programming in Python (Lab D),4,t.akinwale@stateuniv.edu,SENG-1D,false
SENG103,Software Development Tools,2,d.ojo@stateuniv.edu,SENG-1A|SENG-1B|SENG-1C|SENG-1D,false
SENG104,Logic and Problem Solving,3,h.abdullahi@stateuniv.edu,SENG-1A|SENG-1B|SENG-1C|SENG-1D,false
SENG201,Software Design Patterns,3,j.okoye@stateuniv.edu,SENG-2A|SENG-2B|SENG-2C|SENG-2D,false
SENG202A,Web Development (Section A),4,t.akinwale@stateuniv.edu,SENG-2A|SENG-2B,false
SENG202B,Web Development (Section B),4,i.chukwu@stateuniv.edu,SENG-2C|SENG-2D,false
SENG203A,Mobile App Dev (Android),3,i.chukwu@stateuniv.edu,SENG-2A|SENG-2C,false
SENG203B,Mobile App Dev (iOS),3,m.gambo@stateuniv.edu,SENG-2B|SENG-2D,false
SENG204,Software Testing,3,m.gambo@stateuniv.edu,SENG-2A|SENG-2B|SENG-2C|SENG-2D,false
SENG301,Agile Methodologies,3,a.lawal@stateuniv.edu,SENG-3A|SENG-3B|SENG-3C|SENG-3D,false
SENG302,DevOps and CI/CD,3,c.umeh@stateuniv.edu,SENG-3A|SENG-3B|SENG-3C|SENG-3D,false
SENG303,Software Architecture,3,o.oni@stateuniv.edu,SENG-3A|SENG-3B|SENG-3C|SENG-3D,false
SENG304,Human Computer Interaction,2,b.suleiman@stateuniv.edu,SENG-3A|SENG-3B|SENG-3C|SENG-3D,false
SENG401,Capstone Project I,4,f.adegoke@stateuniv.edu,SENG-4A|SENG-4B,false
SENG402,Capstone Project II,4,v.anyaegbu@stateuniv.edu,SENG-4A|SENG-4B,false
SENG403,Enterprise Software Development,3,s.owolabi@stateuniv.edu,SENG-4A|SENG-4B,false
INFT101,Fundamentals of IT,3,a.yusuf@stateuniv.edu,INFT-1A|INFT-1B|INFT-1C,false
INFT102,PC Hardware and Maintenance,3,o.akinyemi@stateuniv.edu,INFT-1A|INFT-1B|INFT-1C,false
INFT103,Introduction to Networking,3,c.nnamdi@stateuniv.edu,INFT-1A|INFT-1B|INFT-1C,false
INFT104,Office Productivity Tools,2,s.garba@stateuniv.edu,INFT-1A|INFT-1B|INFT-1C,false
INFT201,Network Administration,3,a.igbo@stateuniv.edu,INFT-2A|INFT-2B|INFT-2C,false
INFT202,System Administration,3,k.adewole@stateuniv.edu,INFT-2A|INFT-2B|INFT-2C,false
INFT203,Database Administration,3,f.ogunleye@stateuniv.edu,INFT-2A|INFT-2B|INFT-2C,false
INFT204,IT Service Management,2,o.agu@stateuniv.edu,INFT-2A|INFT-2B|INFT-2C,false
INFT301,Cloud Infrastructure,3,r.abubakar@stateuniv.edu,INFT-3A|INFT-3B|INFT-3C,false
INFT302,IT Security Fundamentals,3,t.olorunfemi@stateuniv.edu,INFT-3A|INFT-3B|INFT-3C,false
INFT303,Virtualization Technologies,3,n.ani@stateuniv.edu,INFT-3A|INFT-3B|INFT-3C,false
INFT401,IT Project Management,3,a.ogundipe@stateuniv.edu,INFT-4A|INFT-4B,false
INFT402,IT Governance,2,f.dikko@stateuniv.edu,INFT-4A|INFT-4B,false
CYBS101,Introduction to Cybersecurity,3,c.obiora@stateuniv.edu,CYBS-1A|CYBS-1B,false
CYBS102,Network Security Basics,3,b.sowemimo@stateuniv.edu,CYBS-1A|CYBS-1B,false
CYBS103,Security Fundamentals,3,m.hassan@stateuniv.edu,CYBS-1A|CYBS-1B,false
CYBS104,Linux Administration,3,i.ezeh@stateuniv.edu,CYBS-1A|CYBS-1B,false
CYBS201,Ethical Hacking,4,a.odunsi@stateuniv.edu,CYBS-2A|CYBS-2B,false
CYBS202,Cryptography,3,s.aliyu@stateuniv.edu,CYBS-2A|CYBS-2B,false
CYBS203,Security Policies,2,n.achebe@stateuniv.edu,CYBS-2A|CYBS-2B,false
CYBS301,Penetration Testing,4,o.falade@stateuniv.edu,CYBS-3A|CYBS-3B,false
CYBS302,Digital Forensics,3,z.ibrahim@stateuniv.edu,CYBS-3A|CYBS-3B,false
CYBS303,Incident Response,3,e.okafor@stateuniv.edu,CYBS-3A|CYBS-3B,false
CYBS401,Advanced Threat Analysis,3,d.ajayi@stateuniv.edu,CYBS-4A|CYBS-4B,false
CYBS402,Security Research Project,4,h.shehu@stateuniv.edu,CYBS-4A|CYBS-4B,false
EENG101A,Engineering Mathematics I (Section A),4,o.okeke@stateuniv.edu,EENG-1A|EENG-1B,false
EENG101B,Engineering Mathematics I (Section B),4,s.adeyinka@stateuniv.edu,EENG-1C|EENG-1D,false
EENG102,Basic Electronics,3,s.adeyinka@stateuniv.edu,EENG-1A|EENG-1B|EENG-1C|EENG-1D,false
EENG103A,Engineering Drawing (Studio A),3,c.udo@stateuniv.edu,EENG-1A|EENG-1B,false
EENG103B,Engineering Drawing (Studio B),3,a.tanko@stateuniv.edu,EENG-1C|EENG-1D,false
EENG104A,Workshop Practice (Group A),2,a.tanko@stateuniv.edu,EENG-1A,false
EENG104B,Workshop Practice (Group B),2,y.oladimmeji@stateuniv.edu,EENG-1B,false
EENG104C,Workshop Practice (Group C),2,e.onwu@stateuniv.edu,EENG-1C,false
EENG104D,Workshop Practice (Group D),2,j.akindele@stateuniv.edu,EENG-1D,false
EENG201,Circuit Theory,4,y.oladimmeji@stateuniv.edu,EENG-2A|EENG-2B|EENG-2C|EENG-2D,false
EENG202,Electromagnetic Fields,3,e.onwu@stateuniv.edu,EENG-2A|EENG-2B|EENG-2C|EENG-2D,false
EENG203,Electronic Devices,3,j.akindele@stateuniv.edu,EENG-2A|EENG-2B|EENG-2C|EENG-2D,false
EENG204,Signal Analysis,3,h.audu@stateuniv.edu,EENG-2A|EENG-2B|EENG-2C|EENG-2D,false
EENG301,Power Systems,3,t.ibe@stateuniv.edu,EENG-3A|EENG-3B|EENG-3C,false
EENG302,Control Systems,3,m.afolabi@stateuniv.edu,EENG-3A|EENG-3B|EENG-3C,false
EENG303,Microprocessors,3,s.danjuma@stateuniv.edu,EENG-3A|EENG-3B|EENG-3C,false
EENG401,Power Electronics,3,n.azuka@stateuniv.edu,EENG-4A|EENG-4B,false
EENG402,Energy Systems,3,f.ogunnaike@stateuniv.edu,EENG-4A|EENG-4B,false
EENG403,Design Project,4,a.sadiq@stateuniv.edu,EENG-4A|EENG-4B,false
MENG101,Engineering Mechanics,4,a.ejiofor@stateuniv.edu,MENG-1A|MENG-1B|MENG-1C|MENG-1D,false
MENG102,Materials Science,3,o.adeniyi@stateuniv.edu,MENG-1A|MENG-1B|MENG-1C|MENG-1D,false
MENG103,Technical Drawing,3,r.danladi@stateuniv.edu,MENG-1A|MENG-1B|MENG-1C|MENG-1D,false
MENG104,Manufacturing Processes,2,u.nweke@stateuniv.edu,MENG-1A|MENG-1B|MENG-1C|MENG-1D,false
MENG201,Thermodynamics,4,t.oyeleke@stateuniv.edu,MENG-2A|MENG-2B|MENG-2C|MENG-2D,false
MENG202,Fluid Mechanics,3,a.garba@stateuniv.edu,MENG-2A|MENG-2B|MENG-2C|MENG-2D,false
MENG203,Strength of Materials,3,k.onyema@stateuniv.edu,MENG-2A|MENG-2B|MENG-2C|MENG-2D,false
MENG204,Machine Elements,3,l.kwankwaso@stateuniv.edu,MENG-2A|MENG-2B|MENG-2C|MENG-2D,false
