name,email
Dr. Oluwaseun Adeyemi,o.adeyemi@stateuniv.edu
Dr. Chidinma Okonkwo,c.okonkwo@stateuniv.edu
Prof. Emeka Nwachukwu,e.nwachukwu@stateuniv.edu
Dr. Aisha Mohammed,a.mohammed@stateuniv.edu
Dr. Tunde Bakare,t.bakare@stateuniv.edu
Prof. Ngozi Eze,n.eze@stateuniv.edu
Dr. Babatunde Oyelaran,b.oyelaran@stateuniv.edu
Dr. Funke Adebayo,f.adebayo@stateuniv.edu
Prof. Chukwuemeka Okoro,c.okoro@stateuniv.edu
Dr. Yetunde Adeleke,y.adeleke@stateuniv.edu
Dr. Ibrahim Musa,i.musa@stateuniv.edu
Prof. Grace Obi,g.obi@stateuniv.edu
Dr. Kayode Ogundimu,k.ogundimu@stateuniv.edu
Dr. Blessing Nwosu,b.nwosu@stateuniv.edu
Prof. Ahmed Bello,a.bello@stateuniv.edu
Dr. Olumide Fashola,o.fashola@stateuniv.edu
Dr. Stella Igwe,s.igwe@stateuniv.edu
Prof. Uche Okafor,u.okafor@stateuniv.edu
Dr. Damilola Ojo,d.ojo@stateuniv.edu
Dr. Hauwa Abdullahi,h.abdullahi@stateuniv.edu
Prof. John Okoye,j.okoye@stateuniv.edu
Dr. Temitope Akinwale,t.akinwale@stateuniv.edu
Dr. Ifeoma Chukwu,i.chukwu@stateuniv.edu
Prof. Musa Gambo,m.gambo@stateuniv.edu
Dr. Adeola Lawal,a.lawal@stateuniv.edu
Dr. Chinyere Umeh,c.umeh@stateuniv.edu
Prof. Olayinka Oni,o.oni@stateuniv.edu
Dr. Binta Suleiman,b.suleiman@stateuniv.edu
Dr. Femi Adegoke,f.adegoke@stateuniv.edu
Prof. Victoria Anyaegbu,v.anyaegbu@stateuniv.edu
Dr. Samuel Owolabi,s.owolabi@stateuniv.edu
Dr. Amina Yusuf,a.yusuf@stateuniv.edu
Prof. Oladipo Akinyemi,o.akinyemi@stateuniv.edu
Dr. Chioma Nnamdi,c.nnamdi@stateuniv.edu
Dr. Salihu Garba,s.garba@stateuniv.edu
Prof. Adaeze Igbo,a.igbo@stateuniv.edu
Dr. Kunle Adewole,k.adewole@stateuniv.edu
Dr. Folake Ogunleye,f.ogunleye@stateuniv.edu
Prof. Obinna Agu,o.agu@stateuniv.edu
Dr. Rashidat Abubakar,r.abubakar@stateuniv.edu
Dr. Tobi Olorunfemi,t.olorunfemi@stateuniv.edu
Prof. Nkechi Ani,n.ani@stateuniv.edu
Dr. Ayodele Ogundipe,a.ogundipe@stateuniv.edu
Dr. Fatima Dikko,f.dikko@stateuniv.edu
Prof. Chidi Obiora,c.obiora@stateuniv.edu
Dr. Bukola Sowemimo,b.sowemimo@stateuniv.edu
Dr. Maryam Hassan,m.hassan@stateuniv.edu
Prof. Ikenna Ezeh,i.ezeh@stateuniv.edu
Dr. Adewale Odunsi,a.odunsi@stateuniv.edu
Dr. Salamatu Aliyu,s.aliyu@stateuniv.edu
Prof. Nnamdi Achebe,n.achebe@stateuniv.edu
Dr. Olabisi Falade,o.falade@stateuniv.edu
Dr. Zainab Ibrahim,z.ibrahim@stateuniv.edu
Prof. Emmanuel Okafor,e.okafor@stateuniv.edu
Dr. Dolapo Ajayi,d.ajayi@stateuniv.edu
Dr. Hajiya Shehu,h.shehu@stateuniv.edu
Prof. Obioma Okeke,o.okeke@stateuniv.edu
Dr. Segun Adeyinka,s.adeyinka@stateuniv.edu
Dr. Comfort Udo,c.udo@stateuniv.edu
Prof. Aliyu Tanko,a.tanko@stateuniv.edu
Dr. Yinka Oladimmeji,y.oladimmeji@stateuniv.edu
Dr. Ebele Onwu,e.onwu@stateuniv.edu
Prof. Jide Akindele,j.akindele@stateuniv.edu
Dr. Halima Audu,h.audu@stateuniv.edu
Dr. Tochukwu Ibe,t.ibe@stateuniv.edu
Prof. Modupe Afolabi,m.afolabi@stateuniv.edu
Dr. Sani Danjuma,s.danjuma@stateuniv.edu
Dr. Nneka Azuka,n.azuka@stateuniv.edu
Prof. Fola Ogunnaike,f.ogunnaike@stateuniv.edu
Dr. Abubakar Sadiq,a.sadiq@stateuniv.edu
Dr. Adanna Ejiofor,a.ejiofor@stateuniv.edu
Prof. Olu Adeniyi,o.adeniyi@stateuniv.edu
Dr. Rahma Danladi,r.danladi@stateuniv.edu
Dr. Ugo Nweke,u.nweke@stateuniv.edu
Prof. Tunji Oyeleke,t.oyeleke@stateuniv.edu
Dr. Asabe Garba,a.garba@stateuniv.edu
Dr. Kelechi Onyema,k.onyema@stateuniv.edu
Prof. Ladi Kwankwaso,l.kwankwaso@stateuniv.edu
Dr. Yewande Ogunyemi,y.ogunyemi@stateuniv.edu
Dr. Chukwudi Nwankwo,c.nwankwo@stateuniv.edu
Prof. Tolulope Adesanya,t.adesanya@stateuniv.edu
Dr. Nafisa Jibril,n.jibril@stateuniv.edu
Dr. Ifeanyi Ugwu,i.ugwu@stateuniv.edu
Prof. Rotimi Fagbenle,r.fagbenle@stateuniv.edu
Dr. Maimuna Yaro,m.yaro@stateuniv.edu
Dr. Obafemi Awolowo,o.awolowo@stateuniv.edu
Prof. Chiamaka Ike,c.ike@stateuniv.edu
Dr. Kabiru Yaradua,k.yaradua@stateuniv.edu
Dr. Chizoba Oforma,c.oforma@stateuniv.edu
